#compound Initial Optimized Reoptimized Retrained
230068 4.808 1.517 1.517 1.503
23006A 4.449 3.26 2.745 3.155
230069 8.147 2.608 3.018 3.357
23006B 6.016 1.66 1.66 1.639
23006C 12.664 2.062 2.062 3.13
23006D 12.543 1.947 1.947 9.508
23006E 0.938 0.923 0.923 2.252
23006F 1.519 1.768 1.242 4.103
23006G 1.962 1.296 1.296 1.241
23006H 9.237 1.308 1.308 7.396
23006I 4.447 3.781 2.351 3.475
23006J 12.478 1.393 1.393 4.745
23006K 9.164 2.984 2.984 7.3
23006L 7.603 2.429 2.429 2.478
23006N 2.764 1.782 1.782 1.808
23006M 3.756 2.21 2.21 2.422
23006O 4.096 2.652 2.652 3.006
23006P 3.019 2.349 2.349 2.192
23006Q 5.278 1.42 1.42 4.172
23006R 5.116 2.037 2.037 2.46
23006T 7.043 1.354 1.354 1.718
23006S 10.897 1.618 1.618 5.921
23006U 6.871 1.934 1.934 4.411
23006V 2.156 1.453 1.453 1.859
23006W 4.548 2.568 2.568 2.913
23006X 3.183 1.185 1.185 1.17
23006Y 3.597 1.133 1.133 2.017
23006Z 4.149 1.664 1.664 1.913
230070 2.287 1.586 1.586 1.453
230071 6.011 1.923 1.776 1.709
230072 3.743 1.865 1.865 3.101
230073 5.729 4.5 3.374 3.247
230074 4.224 2.085 2.085 1.995
230075 12.463 2.96 2.507 2.818
230076 3.14 1.814 1.814 1.85
230077 9.905 3.77 3.209 3.754
230078 4.426 1.907 1.907 4.657
230079 5.028 1.861 1.861 1.917
23007A 2.486 1.792 1.792 1.852
23007B 2.563 1.366 1.366 1.423
23007C 1.837 1.253 1.253 1.502
23007D 6.752 2.577 2.577 3.137
23007E 3.576 1.543 1.543 1.699
23007F 8.524 1.127 1.127 1.202
23007G 7.093 1.824 1.824 2.392
23007I 5.358 3.422 3.422 3.152
23007J 7.49 2.992 2.992 2.434
23007H 8.677 3.248 2.299 3.593
23007K 3.296 1.987 1.987 1.672
23007M 5.472 1.541 1.541 1.566
23007L 6.004 3.54 2.887 3.071
23007O 1.805 1.508 1.508 1.771
23007N 5.537 1.585 1.585 2.683
23007P 2.813 2.281 2.281 2.296
23007R 2.319 1.269 1.269 2.382
23007S 2.574 2.071 2.071 2.169
23007U 3.649 1.53 1.53 1.55
23007W 4.212 1.696 1.696 1.933
23007V 3.504 1.232 1.232 1.226
23007X 4.979 2.413 2.413 2.343
23007Y 11.21 2.686 3.325 3.782
23007Z 4.867 2.219 2.219 2.257
230080 5.961 2.394 2.394 2.366
230081 3.281 1.908 1.908 1.762
230082 13.448 3.559 3.559 8.428
230084 9.761 1.497 1.497 1.915
230083 8.404 2.245 2.245 2.29
230085 3.08 2.024 2.024 1.976
230086 2.706 1.762 1.762 1.849
230087 8.959 1.484 1.484 1.383
230088 2.563 1.652 1.652 2.214
230089 2.26 1.159 1.159 1.117
23008A 9.987 2.035 2.035 5.519
23008B 4.685 2.577 2.577 2.681
23008C 5.322 2.522 2.522 8.373
23008E 7.978 1.535 1.535 1.91
23008D 10.673 2.457 2.457 2.818
23008G 2.394 1.73 1.73 1.737
23008F 3.071 1.964 1.964 1.968
23008H 3.933 1.679 1.679 2.749
23008I 16.471 1.668 1.668 7.821
23008J 3.709 5.476 3.235 3.335
23008L 14.317 2.417 2.417 1.852
23008K 14.402 2.232 2.232 3.519
23008M 4.546 2.0 2.0 2.296
23008N 8.64 2.02 2.02 1.996
23008O 8.514 3.055 3.055 4.784
23008P 7.662 1.711 1.711 1.828
23008Q 2.606 1.452 1.452 1.556
23008R 2.465 2.495 2.495 1.758
23008S 6.453 3.804 1.346 2.369
23008T 5.116 1.918 1.918 4.227
23008U 2.004 0.954 0.954 1.312
23008V 4.508 2.704 2.704 2.622
23008W 3.257 1.298 1.298 1.688
23008X 1.485 1.325 1.325 1.314
23008Y 7.032 2.197 2.197 3.553
23008Z 6.095 1.78 1.78 2.642
230090 3.591 1.05 1.05 0.972
230091 4.832 1.624 1.624 1.766
230092 3.867 3.369 3.369 3.357
230093 5.239 2.823 2.823 3.268
230094 3.957 1.86 1.86 2.714
230095 11.312 1.683 1.683 7.026
230096 6.011 2.221 2.221 2.091
230097 16.755 2.077 2.077 2.052
230098 14.824 1.794 1.794 3.999
230099 3.249 1.586 1.586 1.964
23009A 1.928 1.287 1.287 1.389
23009C 4.126 1.658 1.658 3.018
23009B 7.091 4.025 4.025 5.69
23009D 5.103 1.671 1.671 3.55
23009E 1.749 1.458 1.458 2.116
23009F 5.684 2.139 2.139 1.432
