#compound QM_x QM_y QM_z Initial_x Initial_y Initial_z Optimized_x Optimized_y Optimized_z Reoptimized_x Reoptimized_y Reoptimized_z Retrained_x Retrained_y Retrained_z
230033 -2.907 2.622 -0.156 -10.748 -2.06 0.088 -2.893 2.575 -0.039 -2.893 2.575 -0.039 -4.204 4.707 -0.144
230034 2.057 -1.386 2.093 1.086 -0.863 1.549 1.511 -1.052 1.611 1.511 -1.052 1.611 1.294 -1.164 1.621
230035 3.601 -0.783 0.0 0.25 -3.451 0.0 3.497 -0.777 0.0 3.497 -0.777 0.0 3.705 -0.847 0.0
230036 -1.206 1.998 -0.005 0.603 1.815 -0.258 -1.18 1.961 -0.046 -1.18 1.961 -0.046 0.222 2.355 -0.031
230037 -3.64 4.068 -1.548 -0.543 -1.758 -1.183 -3.305 3.669 -1.172 -3.305 3.669 -1.172 -3.017 4.655 -1.172
230038 -2.03 -0.23 3.373 -1.621 0.263 3.809 -2.02 -0.238 3.376 -2.02 -0.238 3.376 -1.108 0.027 3.206
230039 0.372 -3.46 1.056 1.145 0.239 0.783 0.473 -3.24 0.881 0.473 -3.24 0.881 1.142 -3.097 0.863
23003A -2.991 2.87 -0.003 -4.716 1.015 -0.002 -2.708 2.589 -0.003 -2.708 2.589 -0.003 -3.655 1.018 -0.003
23003B 6.982 0.0 -1.309 -4.69 -0.0 0.783 6.446 0.001 -1.127 6.446 0.001 -1.127 6.462 0.001 -1.155
23003G 0.915 -3.403 0.001 -2.044 -2.046 0.001 0.907 -3.4 0.001 0.907 -3.4 0.001 -0.066 -2.595 0.001
23003I 6.485 -2.199 2.177 1.839 -0.3 2.358 6.028 -2.128 2.104 5.248 -1.917 1.853 5.145 -1.884 1.849
23003H -6.874 2.724 -4.003 -2.759 1.574 -4.094 -6.738 2.558 -3.882 -5.731 2.083 -3.365 -5.77 1.989 -3.335
23003K 5.643 1.138 0.284 -0.96 0.286 -0.35 5.226 0.897 -0.097 5.226 0.897 -0.097 4.699 0.974 -0.102
23003L 5.138 4.875 0.0 4.518 5.187 0.0 4.574 4.103 0.0 4.677 4.228 0.0 4.69 4.178 0.0
23003N -0.039 0.927 -0.779 0.47 5.707 -9.558 -0.004 0.919 -0.801 -0.044 0.94 -0.78 0.507 0.889 -0.561
23003O 0.843 -2.928 -0.68 0.121 -2.347 -0.693 0.786 -2.472 -0.727 0.786 -2.472 -0.727 0.559 -2.477 -0.711
23003P -9.064 0.018 0.0 -3.91 0.514 0.0 -8.583 0.14 0.0 -8.506 0.077 0.0 -4.653 0.479 0.0
23003Q 0.115 1.297 1.145 0.654 0.436 0.67 0.075 1.226 1.046 0.075 1.226 1.046 0.052 0.833 1.018
23003S -1.48 5.42 -1.821 0.773 5.204 -2.52 -1.379 4.885 -1.663 -1.379 4.885 -1.663 -0.976 4.744 -2.252
23003T -5.341 -5.451 2.23 -3.082 -4.584 1.904 -4.441 -4.582 1.892 -4.441 -4.582 1.892 -3.116 -4.59 2.033
23003W -5.284 2.327 -0.404 -7.38 2.863 -0.529 -5.053 2.278 -0.347 -5.053 2.278 -0.347 -4.97 2.537 -0.305
23003Y 1.234 -0.624 1.027 1.253 0.467 0.662 1.168 -0.565 0.897 1.168 -0.565 0.897 0.982 -0.611 0.895
230040 2.382 4.382 0.909 3.531 5.098 0.82 2.295 4.312 0.793 2.295 4.312 0.793 3.105 4.004 0.818
230042 -4.174 4.853 1.988 -4.223 0.479 1.783 -3.617 3.987 1.561 -3.617 3.987 1.561 -2.793 3.137 1.658
230047 -0.693 -4.797 0.924 -1.059 -1.918 0.386 -0.348 -4.506 0.605 -0.348 -4.506 0.605 0.907 -4.067 0.53
230048 -4.007 -2.899 1.059 -2.645 -3.42 1.225 -3.984 -2.908 1.04 -3.984 -2.908 1.04 -3.983 -2.792 0.865
230049 1.482 0.948 1.981 0.991 0.992 2.147 1.44 0.906 1.915 1.44 0.906 1.915 0.943 0.944 1.94
23004A -3.379 4.798 3.157 -2.245 3.884 2.345 -2.855 4.101 2.658 -2.855 4.101 2.658 -2.545 4.193 2.713
23004F 6.146 4.908 -3.5 4.126 3.896 -2.608 5.577 4.49 -2.858 5.407 4.318 -2.9 4.096 3.838 -3.114
23004G -2.046 -0.139 1.989 -1.112 0.049 1.805 -2.006 -0.128 1.955 -2.006 -0.128 1.955 -1.093 -0.089 2.022
23004K 0.0 2.133 0.135 0.0 0.938 -0.012 -0.0 2.018 0.083 -0.0 2.018 0.083 -0.0 2.481 0.085
23004J 2.055 -0.0 0.0 4.371 -0.0 -0.0 2.173 -0.0 0.0 2.173 -0.0 0.0 -1.678 0.0 0.0
23004M 5.629 0.874 1.059 3.696 1.007 1.293 4.725 0.754 0.901 4.725 0.754 0.901 4.352 0.763 0.911
23004N 2.446 -4.239 0.617 0.522 -3.739 0.775 2.378 -4.006 0.677 2.378 -4.006 0.677 2.375 -3.948 0.68
23004O -4.248 -0.263 0.254 -2.859 -1.581 -0.159 -3.779 -0.192 0.179 -3.779 -0.192 0.179 -3.262 -0.587 0.137
23004P 6.668 5.707 0.024 5.603 1.84 -0.024 5.861 4.923 -0.007 5.861 4.923 -0.007 4.367 2.659 -0.003
23004Q -1.648 1.322 3.013 -1.624 0.935 2.741 -1.581 1.115 2.853 -1.581 1.115 2.853 -1.641 1.145 2.858
23004R -4.474 -2.008 1.601 -4.315 -1.498 1.235 -4.013 -1.631 1.285 -4.013 -1.631 1.285 -4.03 -1.646 1.305
23004S 1.392 0.175 1.231 -1.431 -0.187 1.09 1.323 0.228 1.236 1.323 0.228 1.236 0.734 -0.063 1.313
23004U 2.434 -2.699 0.479 -1.732 3.669 -1.04 2.264 -1.978 0.235 2.264 -1.978 0.235 0.545 -2.081 0.52
23004V -1.051 -0.939 1.326 -0.924 -0.742 0.944 -0.927 -0.811 1.028 -0.927 -0.811 1.028 -0.444 -0.712 1.085
23004W 7.986 -0.228 -0.065 5.008 -0.118 0.056 6.645 -0.102 0.048 6.645 -0.102 0.048 5.875 -0.044 0.018
23004Y -0.334 3.693 1.121 3.832 3.205 -0.07 -0.305 3.707 1.121 -0.305 3.707 1.121 0.008 3.789 1.129
23004Z -3.321 -1.885 4.414 0.389 -4.22 3.947 -2.895 -1.726 3.936 -2.895 -1.726 3.936 -2.82 -1.621 3.995
230052 -3.71 1.145 -0.279 -4.639 -0.145 0.029 -3.549 1.08 -0.263 -3.549 1.08 -0.263 -3.481 0.346 -0.087
230054 2.507 -3.572 -0.139 1.599 -2.16 -0.094 1.933 -2.721 -0.218 1.933 -2.721 -0.218 2.012 -2.705 -0.213
230056 -0.108 2.507 0.244 -0.939 2.787 0.399 -0.113 2.446 0.301 -0.113 2.446 0.301 0.241 2.29 0.308
230057 -4.774 0.275 1.75 -3.046 0.782 0.833 -4.652 0.298 1.608 -4.652 0.298 1.608 -4.275 0.286 1.127
230058 -0.902 -1.643 -0.898 0.571 -1.689 -0.65 -0.896 -1.635 -0.891 -0.896 -1.635 -0.891 -0.24 -1.541 -1.088
230059 -0.0 -2.125 -0.0 -0.0 3.6 -0.001 0.0 -2.118 0.006 0.0 -2.118 0.006 -0.0 -2.136 -0.0
23005A -0.383 -4.201 1.579 0.382 -1.961 1.375 -0.353 -3.684 1.391 -0.353 -3.684 1.391 -0.821 -3.946 1.276
23005B -7.567 0.001 -0.863 -12.068 0.001 -4.007 -6.452 0.0 -0.786 -6.452 0.0 -0.786 -6.411 0.0 -0.764
23005D 2.317 0.599 2.307 0.219 -1.61 1.795 2.196 0.53 1.848 2.196 0.53 1.848 2.212 0.544 1.861
23005F 3.661 2.612 -1.031 -0.625 -0.447 -5.493 2.822 2.026 -0.845 2.822 2.026 -0.845 2.954 2.106 -0.486
23005E -4.385 1.041 1.932 1.407 -0.842 6.139 -4.03 0.901 1.499 -4.03 0.901 1.499 -2.753 1.082 1.129
23005G 4.24 2.234 -0.002 1.073 3.193 -0.004 3.629 1.878 -0.004 3.629 1.878 -0.004 3.459 2.188 -0.004
23005I 4.488 -6.875 -0.543 -0.102 0.157 0.013 3.929 -5.997 -0.472 3.929 -5.997 -0.472 3.539 -5.422 -0.428
23005H 3.774 -8.166 0.011 1.543 -1.812 0.003 3.725 -7.944 0.008 3.725 -7.944 0.008 3.959 -7.785 0.009
23005J -0.507 -0.954 0.233 -0.863 -2.015 -0.088 -0.483 -0.969 0.234 -0.483 -0.969 0.234 -0.666 -2.033 0.197
