#compound QM_x QM_y QM_z Initial_x Initial_y Initial_z Optimized_x Optimized_y Optimized_z Reoptimized_x Reoptimized_y Reoptimized_z Retrained_x Retrained_y Retrained_z
2300G4 -1.829 -8.33 0.974 -2.182 -8.588 0.516 -1.665 -7.432 0.576 -1.665 -7.432 0.576 -1.681 -7.625 0.577
2300G5 -3.259 -0.915 -0.0 0.831 -0.378 -0.002 -3.255 -0.915 -0.002 -3.277 -0.909 -0.002 -4.049 0.212 -0.002
2300G6 1.697 0.935 1.591 3.886 -0.593 0.98 1.703 0.913 1.548 1.703 0.913 1.548 0.79 0.824 1.554
2300G8 -0.988 6.56 0.05 -2.54 3.839 -0.019 -0.796 5.626 0.015 -0.796 5.626 0.015 -1.367 4.217 0.013
2300G9 2.263 -3.266 1.272 1.122 -3.948 0.78 2.344 -2.745 0.904 2.329 -2.843 0.897 2.825 -2.629 0.885
2300GA -1.56 0.864 1.717 0.397 -1.422 1.636 -1.534 0.838 1.673 -1.534 0.838 1.673 -0.175 0.924 1.635
2300GB -3.147 1.699 -0.207 -0.896 1.334 -0.267 -2.51 1.383 -0.363 -2.51 1.383 -0.363 -2.474 1.379 -0.356
2300GC 0.359 0.843 -0.007 -1.115 -1.285 0.001 0.37 0.822 -0.007 0.37 0.822 -0.007 2.929 -0.286 -0.004
2300GE -6.178 3.137 -0.105 -5.616 0.382 -0.733 -5.83 2.893 -0.183 -5.83 2.893 -0.183 -4.601 3.103 -0.127
2300GF 2.286 -1.528 4.295 1.192 -1.236 4.6 2.301 -1.521 4.296 2.301 -1.521 4.296 1.527 -1.399 4.595
2300GK 1.112 1.356 -0.535 2.46 1.269 -0.919 1.121 1.409 -0.502 1.121 1.409 -0.502 0.836 1.464 -0.393
2300GJ -2.069 0.575 0.693 1.595 1.073 -0.309 -1.943 0.543 0.484 -1.943 0.543 0.484 -1.374 0.597 0.402
2300GN -6.377 -3.262 0.0 1.72 13.311 0.0 -5.379 -2.826 0.0 -5.444 -2.865 0.0 -4.725 -3.207 0.0
2300GP -1.438 0.123 -1.581 -0.929 0.128 -1.87 -1.449 0.123 -1.58 -1.449 0.123 -1.58 -1.335 0.122 -1.612
2300GQ -1.068 0.153 -1.38 -0.426 0.158 -1.657 -1.06 0.153 -1.382 -1.06 0.153 -1.382 -0.269 0.133 -1.425
2300GR -0.486 1.337 0.713 -0.141 -0.596 0.777 -0.487 1.33 0.714 -0.487 1.33 0.714 -0.395 0.578 0.733
2300GS 0.03 -0.001 0.024 -0.15 -0.314 0.017 0.023 -0.007 0.024 0.023 -0.007 0.024 -0.101 0.158 0.025
2300GT -0.037 0.29 -0.157 -0.357 -0.752 0.197 -0.039 0.302 -0.155 -0.039 0.302 -0.155 0.09 -0.221 -0.225
2300GV 0.744 -5.794 2.167 1.16 -5.113 2.08 0.669 -5.203 2.077 0.669 -5.203 2.077 0.159 -5.583 2.103
2300GX 0.604 -0.584 -1.015 -5.367 -0.233 -0.069 0.621 -0.569 -1.01 0.646 -0.588 -1.009 -2.655 -0.214 -1.035
2300GY 4.623 -4.659 -1.868 4.312 -3.292 -0.667 3.988 -4.107 -1.598 3.988 -4.107 -1.598 3.408 -4.07 -1.583
2300GZ -6.168 1.647 0.0 -3.394 0.788 0.0 -5.247 1.304 0.0 -5.247 1.304 0.0 -5.18 2.054 0.0
2300H0 7.292 11.417 0.445 4.813 6.305 0.275 6.642 10.392 0.303 6.604 10.223 0.373 5.353 8.596 0.356
2300H1 0.705 1.952 0.643 2.569 2.386 1.754 0.707 1.959 0.645 0.707 1.959 0.645 0.532 2.001 0.65
2300H3 1.382 -3.631 1.564 1.224 -2.817 2.764 1.087 -2.961 1.352 1.087 -2.961 1.352 1.236 -3.103 1.357
2300H4 -1.633 -4.709 0.001 -2.6 -4.716 0.002 -1.44 -3.956 0.019 -1.44 -3.956 0.019 -1.411 -3.943 0.0
2300H5 -5.935 -0.782 1.113 -3.296 -2.697 1.219 -4.843 -1.034 1.283 -4.843 -1.034 1.283 -4.925 -1.066 1.265
2300H6 -3.953 1.385 0.847 -8.642 5.798 0.524 -3.787 1.382 0.626 -3.78 1.345 0.633 -5.003 4.132 0.632
2300H8 -21.239 5.596 0.939 -21.902 12.473 0.693 -17.045 4.464 0.834 -17.045 4.464 0.834 -17.503 4.697 0.817
2300H9 4.278 0.62 0.086 3.291 4.123 0.115 4.281 0.63 0.106 4.281 0.63 0.106 4.923 2.121 0.11
2300HA 1.26 -2.685 0.407 0.859 -1.518 -0.885 1.248 -2.656 0.395 1.248 -2.656 0.395 1.062 -2.58 0.1
2300HD -1.028 0.786 1.232 -2.285 1.223 0.827 -1.023 0.797 1.229 -1.023 0.797 1.229 -1.252 0.728 2.031
2300HF -0.723 -1.442 0.884 -0.789 -1.777 1.007 -0.695 -1.421 0.881 -0.695 -1.421 0.881 -0.727 -1.415 0.857
2300HE -0.051 1.402 0.466 -1.138 2.019 0.414 -0.029 1.41 0.469 -0.029 1.41 0.469 0.026 1.484 0.472
2300HG 1.14 -1.019 0.158 2.741 -4.258 0.284 1.158 -0.975 0.174 1.151 -1.003 0.138 1.857 -0.952 0.307
2300HH -1.188 0.685 1.407 -0.247 1.329 0.268 -1.2 0.667 1.405 -1.2 0.667 1.405 -0.552 0.56 1.108
2300HI -0.125 3.316 3.358 0.028 2.105 1.878 -0.166 2.735 2.738 -0.166 2.735 2.738 -0.17 2.818 2.659
2300HJ 0.613 2.173 -3.591 0.374 1.357 -2.235 0.477 1.743 -2.894 0.477 1.743 -2.894 0.438 1.722 -2.871
2300HK 0.735 4.679 -0.077 1.254 5.318 -0.115 0.626 4.385 -0.028 0.626 4.385 -0.028 -0.59 4.55 -0.04
2300HM -3.307 -0.152 -4.29 -2.024 0.131 -4.435 -2.864 -0.198 -3.78 -2.864 -0.198 -3.78 -2.298 -0.47 -3.836
2300HN -2.739 0.915 -0.457 -1.416 -3.418 0.486 -2.724 0.919 -0.461 -2.724 0.919 -0.461 -2.084 0.668 -0.429
2300HO -5.216 1.172 1.022 -2.514 2.952 0.834 -4.62 1.177 0.891 -4.62 1.177 0.891 -3.317 2.012 0.867
2300HP -3.165 12.19 1.641 -6.464 12.343 1.249 -2.771 10.336 1.373 -2.771 10.336 1.373 -2.722 10.526 1.399
2300HQ -10.128 -3.01 0.0 -9.35 -1.761 -0.0 -8.914 -2.658 -0.0 -8.914 -2.658 -0.0 -9.124 -2.706 -0.0
2300HR 1.624 -0.002 0.541 0.703 0.002 -0.316 1.559 -0.001 0.463 1.559 -0.001 0.463 1.358 -0.002 0.513
2300HS 2.648 3.142 4.094 2.183 1.824 3.804 2.239 2.686 3.37 2.239 2.686 3.37 2.137 2.823 3.36
2300HU -0.284 0.558 1.885 -0.879 0.017 1.289 -0.307 0.592 1.881 -0.307 0.592 1.881 -0.644 -0.019 1.701
2300HV -5.583 1.753 1.734 0.685 1.305 1.405 -4.908 1.603 1.532 -4.908 1.603 1.532 -1.131 2.578 1.419
2300HW 4.818 1.52 -0.003 5.455 1.314 -0.002 4.752 1.456 -0.002 4.752 1.456 -0.002 3.907 1.375 -0.002
2300HX 0.729 -4.796 2.475 -0.125 -12.369 3.216 0.725 -4.831 2.483 0.725 -4.831 2.483 1.496 -4.805 2.71
2300HZ -2.763 0.75 -0.023 -1.224 0.584 -0.122 -2.748 0.756 -0.021 -2.748 0.756 -0.021 -2.152 0.72 -0.116
2300I1 -3.762 -0.0 0.0 -2.992 -0.0 -0.0 -3.149 0.008 0.009 -3.149 0.008 0.009 -3.153 -0.0 -0.0
2300I2 0.927 -0.552 2.023 4.079 -0.308 1.494 0.897 -0.546 2.019 0.897 -0.546 2.019 1.967 -0.877 2.034
2300I3 2.038 -2.738 -0.11 2.535 -3.266 -0.088 2.026 -2.739 -0.108 2.026 -2.739 -0.108 1.902 -2.827 -0.102
2300I5 2.006 8.2 1.773 1.89 7.211 1.583 1.976 7.857 1.588 1.976 7.857 1.588 1.865 7.628 1.559
2300I6 -4.023 6.078 0.945 -1.842 6.032 0.061 -3.6 5.553 0.601 -3.6 5.553 0.601 -3.293 5.241 0.604
2300I8 -0.564 5.244 0.013 0.686 14.034 0.005 -0.541 5.234 -0.002 -0.541 5.234 -0.002 0.563 5.322 -0.002
2300IA -1.434 0.668 -1.32 -0.631 1.305 -1.363 -1.475 0.65 -1.32 -1.475 0.65 -1.32 -2.291 1.723 -1.239
2300IC 5.774 -1.263 1.371 3.694 -0.579 1.683 4.595 -0.899 1.313 4.595 -0.899 1.313 4.482 -0.847 1.35
2300IE 3.044 -3.952 0.724 2.801 -2.653 1.247 2.668 -3.313 0.892 2.668 -3.313 0.892 2.634 -3.11 0.937
2300IG -1.609 -4.849 0.961 -3.43 -4.222 1.181 -1.561 -4.065 0.906 -1.561 -4.065 0.906 -1.617 -4.052 0.902
2300IH 0.099 -0.049 0.003 0.576 -0.132 -0.056 0.122 -0.048 -0.0 0.122 -0.048 -0.0 -0.636 -0.602 0.773
2300IJ 1.965 1.014 2.579 3.778 4.016 4.739 1.724 0.867 2.287 1.724 0.867 2.287 2.236 0.919 2.52
2300II 2.952 -0.214 2.158 9.716 3.187 4.264 2.783 -0.084 1.895 2.805 -0.113 1.941 5.683 1.136 1.023
2300IL -2.128 -1.511 -0.167 0.257 0.907 -0.065 -2.147 -1.523 -0.167 -2.147 -1.523 -0.167 -2.327 -2.244 -0.166
2300IM -3.471 3.305 0.0 -1.218 0.903 0.0 -3.168 2.805 0.0 -3.168 2.805 0.0 -3.191 1.728 0.0
2300IN -1.139 0.487 0.024 -2.965 2.585 0.105 -1.131 0.485 0.024 -1.131 0.485 0.024 -1.738 0.165 0.066
2300IO -3.49 1.701 1.876 -4.963 0.886 2.025 -3.344 1.617 1.747 -3.344 1.617 1.747 -2.759 1.31 1.838
2300IR 4.513 4.051 -2.459 0.995 1.599 -2.574 4.436 3.968 -2.387 4.436 3.968 -2.387 1.463 3.727 -2.576
2300IV 0.912 -1.706 0.207 0.963 -1.832 0.229 0.985 -1.752 0.198 0.985 -1.752 0.198 1.219 -1.768 0.101
2300IU -1.042 3.62 0.45 0.414 3.521 0.314 -0.986 3.456 0.412 -0.986 3.456 0.412 -0.405 3.349 0.379
2300IW -1.923 -2.326 -2.681 -3.144 -0.481 -2.05 -1.871 -2.179 -2.37 -1.871 -2.179 -2.37 -2.595 -1.882 -2.382
2300IY 2.709 -2.687 0.039 2.173 -3.16 0.656 2.51 -2.48 0.086 2.706 -2.695 0.054 2.861 -2.686 0.051
2300J0 4.906 2.828 0.065 5.368 -0.811 0.075 4.07 2.253 0.055 4.07 2.253 0.055 4.06 2.064 0.055
2300IZ 4.699 2.325 0.0 5.148 0.611 0.0 4.4 2.168 0.0 4.4 2.168 0.0 4.573 1.879 0.0
2300J1 4.496 -0.36 4.388 4.001 -0.669 4.261 3.933 -0.266 3.872 3.933 -0.266 3.872 2.725 -0.639 4.051
2300J2 -0.775 1.636 0.392 0.178 2.488 -0.296 -0.772 1.634 0.397 -0.772 1.634 0.397 -0.442 1.551 0.917
2300J4 0.102 0.497 0.019 -1.909 2.967 -0.779 0.109 0.501 0.019 0.109 0.501 0.019 0.568 1.334 0.132
2300J5 1.251 0.318 -0.078 5.453 -0.366 -0.156 1.235 0.307 -0.075 1.235 0.307 -0.075 1.194 0.302 -0.067
2300J8 1.687 -1.82 0.884 3.358 -1.408 1.806 1.628 -1.524 0.985 1.628 -1.524 0.985 0.955 -1.612 1.038
2300JA 0.285 -2.367 -1.604 1.611 0.495 -1.132 0.398 -2.021 -1.301 0.398 -2.021 -1.301 1.018 -1.526 -1.431
2300JD -2.468 12.439 3.597 -3.07 10.425 3.606 -2.403 11.246 3.295 -2.403 11.246 3.295 -2.855 11.179 3.199
2300JE 0.165 1.626 4.372 -0.554 1.413 4.663 0.278 1.472 4.09 0.278 1.472 4.09 1.256 1.339 3.738
2300JF 3.592 1.866 0.915 3.244 2.489 1.241 3.391 1.744 1.21 3.391 1.744 1.21 3.06 2.201 1.293
2300JH -1.428 1.984 0.315 -0.885 1.11 0.034 -1.051 1.274 -0.02 -1.051 1.274 -0.02 -1.001 1.234 0.008
2300JG -2.04 1.587 -1.173 -1.03 0.583 -0.684 -1.623 1.233 -0.782 -1.623 1.233 -0.782 -1.492 1.236 -0.77
2300JI -3.289 -0.732 1.864 -4.567 -2.699 4.597 -3.316 -0.731 1.861 -3.265 -0.716 1.88 -3.261 -1.187 1.982
2300JK -0.374 1.366 1.416 1.977 -0.156 1.694 -0.357 1.366 1.409 -0.357 1.366 1.409 0.475 1.198 1.387
2300JL 3.846 -0.102 -1.445 3.233 -0.327 -1.758 3.516 -0.114 -1.491 3.516 -0.114 -1.491 3.319 0.016 -1.534
2300JM 1.99 -4.873 0.815 4.294 -5.658 0.658 1.848 -4.176 0.598 1.848 -4.176 0.598 1.874 -4.191 0.603
2300JP -6.731 1.658 -0.613 -5.225 2.159 -0.971 -5.958 1.581 -0.459 -5.958 1.581 -0.459 -4.927 1.746 -0.461
2300JQ -3.392 2.387 -1.4 -2.014 2.169 -1.027 -3.404 2.397 -1.402 -3.404 2.397 -1.402 -3.305 2.198 -1.558
2300JR 1.886 -0.853 -0.027 0.211 -0.114 0.865 1.897 -0.854 -0.02 1.897 -0.854 -0.02 1.661 -0.505 0.003
2300JS 0.001 -0.0 0.001 0.0 0.0 0.001 -0.036 -0.008 0.001 -0.036 -0.008 0.001 0.0 -0.0 0.001
2300JT 6.381 1.318 -1.4 5.605 -0.111 -1.876 5.56 1.15 -1.273 5.56 1.15 -1.273 5.428 0.913 -1.304
2300JV -2.148 -2.618 2.747 -1.144 -1.769 2.29 -1.873 -2.183 2.376 -1.873 -2.183 2.376 -1.734 -2.064 2.465
2300JW -1.349 3.539 0.896 -0.931 4.119 0.759 -1.236 3.174 0.776 -1.236 3.174 0.776 -0.938 3.225 0.714
2300K0 -0.946 1.563 -0.489 -1.482 1.342 -0.078 -0.925 1.538 -0.447 -0.925 1.538 -0.447 -0.695 1.743 -0.538
2300K1 -3.487 -0.424 -2.191 -3.809 -1.946 -5.205 -3.086 -0.35 -1.902 -3.086 -0.35 -1.902 -2.761 -0.38 -1.786
2300JZ -3.334 0.05 -0.359 -2.86 -0.308 -3.774 -3.347 0.07 -0.356 -3.347 0.07 -0.356 -1.79 -0.496 -0.713
2300K3 0.412 -3.246 -0.062 2.684 -2.859 0.082 0.415 -3.256 -0.061 0.415 -3.256 -0.061 0.551 -3.29 -0.054
2300K5 2.872 3.974 -1.595 -0.437 2.423 -1.07 2.411 3.407 -1.411 2.411 3.407 -1.411 2.559 2.916 -1.234
2300K8 1.673 -0.238 0.808 3.074 0.3 1.008 1.671 -0.234 0.809 1.655 -0.215 0.885 2.893 0.191 0.731
2300KA 3.776 0.872 1.702 3.038 0.281 2.202 3.431 0.791 1.843 3.431 0.791 1.843 3.22 0.709 1.842
2300KC -1.569 0.188 -2.688 -0.883 1.394 -3.214 -1.427 0.19 -2.564 -1.427 0.19 -2.564 -1.37 0.222 -2.546
2300KE 3.884 -1.97 -0.362 3.9 -5.371 -0.196 3.439 -1.75 -0.346 3.439 -1.75 -0.346 3.17 -1.802 -0.377
2300KF 1.864 7.087 -4.655 0.66 6.318 -4.461 1.721 6.736 -4.535 1.721 6.736 -4.535 1.5 6.542 -4.573
2300KG 8.094 -0.127 -0.001 17.735 -1.127 -0.001 7.775 -0.193 -0.0 7.775 -0.193 -0.0 7.854 -0.049 -0.0
2300KH -4.55 -5.784 1.315 -11.383 -13.847 2.201 -4.546 -5.78 1.307 -4.546 -5.78 1.307 -5.369 -5.645 1.111
2300KI 0.246 3.005 0.254 -1.139 2.831 0.181 0.301 2.842 0.274 0.301 2.842 0.274 0.313 2.866 0.273
2300KL 8.52 -4.062 1.606 1.445 -3.121 1.331 7.176 -3.412 1.245 7.176 -3.412 1.245 7.117 -3.155 1.213
2300KM -4.721 -0.387 3.18 -6.463 -1.713 2.196 -4.464 -0.381 2.401 -4.464 -0.381 2.401 -4.321 0.066 2.382
2300KN 22.435 -2.161 1.838 22.264 -1.229 2.009 20.596 -2.052 1.605 20.596 -2.052 1.605 20.255 -1.931 1.774
2300KP 8.535 2.441 -0.101 4.536 1.683 0.0 7.243 2.152 -0.022 7.243 2.152 -0.022 7.045 2.172 -0.003
2300KQ 2.369 1.191 -0.459 -3.356 1.532 -0.508 2.249 1.112 -0.463 2.249 1.112 -0.463 1.384 1.416 -0.478
2300KR 2.309 3.555 -0.283 1.007 2.184 -0.227 1.802 2.959 -0.216 1.802 2.959 -0.216 1.596 2.794 -0.108
2300KS 2.294 1.298 0.055 3.774 0.769 -0.509 2.302 1.298 0.059 2.302 1.298 0.059 1.749 1.262 -0.058
2300KT -5.387 2.342 -3.26 -4.437 1.631 -3.313 -5.102 2.2 -3.152 -5.102 2.2 -3.152 -5.546 2.233 -3.268
2300KV 2.969 4.959 0.28 2.899 4.283 0.649 2.565 3.679 0.143 2.565 3.679 0.143 2.25 4.385 0.334
2300KW 2.952 5.05 -0.123 2.433 4.822 0.301 2.389 4.051 -0.106 2.389 4.051 -0.106 2.225 3.977 0.093
2300KY -1.367 -5.075 0.006 -4.069 -7.386 -0.002 -1.44 -5.104 0.006 -1.415 -5.09 0.005 -3.049 -4.81 0.002
2300KZ -9.137 -2.644 -0.0 -4.629 -5.201 -0.0 -7.876 -2.312 -0.0 -7.876 -2.312 -0.0 -5.288 -1.677 -0.0
2300L2 1.036 -1.945 1.506 0.555 -1.749 1.925 0.979 -1.785 1.799 0.979 -1.785 1.799 0.626 -1.902 1.753
2300L4 -0.305 -2.066 0.0 -0.442 -2.431 0.0 -0.337 -1.993 0.0 -0.343 -2.077 0.0 -0.5 -2.806 0.0
2300L6 -1.804 0.794 -0.669 -3.004 4.245 -1.485 -1.79 0.8 -0.557 -1.79 0.8 -0.557 -1.721 0.453 -0.626
2300L7 0.093 -6.298 1.169 1.507 -7.486 0.546 0.098 -5.38 1.008 0.098 -5.38 1.008 -0.257 -5.36 1.057
2300L9 0.95 -0.553 0.0 0.95 -0.954 0.0 0.941 -0.556 0.0 0.941 -0.556 0.0 1.232 -1.523 -0.0
2300LB -0.056 1.47 -1.518 0.706 1.563 -1.395 -0.036 1.433 -1.466 -0.036 1.433 -1.466 -0.059 1.399 -1.413
2300LD 7.157 -0.176 3.15 5.32 -1.311 2.068 6.171 -0.247 2.453 6.171 -0.247 2.453 6.029 0.096 2.402
2300LK 5.457 3.438 1.929 3.185 4.525 1.586 4.614 2.895 1.695 4.614 2.895 1.695 4.153 3.345 1.709
2300LL -5.739 0.594 -0.653 -2.896 2.396 -0.735 -5.182 0.644 -0.535 -5.182 0.644 -0.535 -5.09 0.594 -0.526
2300LP -3.697 0.0 0.14 -0.324 -0.001 0.662 -3.372 0.004 0.097 -3.372 0.004 0.097 -3.139 -0.0 0.017
2300LQ -5.059 1.451 0.816 -4.327 1.251 0.639 -4.462 1.268 0.7 -4.462 1.268 0.7 -4.416 1.529 0.767
2300LS -4.249 0.292 0.486 -7.25 -0.869 0.461 -4.258 0.269 0.434 -4.258 0.269 0.434 -4.145 0.513 0.439
2300LU 8.819 3.17 1.809 6.239 1.328 1.348 7.339 2.523 1.523 7.339 2.523 1.523 6.655 1.863 1.571
2300LV 2.342 -0.945 2.219 -3.038 -3.024 6.589 2.345 -0.953 2.211 2.33 -0.943 2.217 1.777 -1.048 2.239
2300LW -4.837 5.14 0.0 1.556 -3.093 -0.001 -4.514 4.859 0.0 -4.514 4.859 0.0 -4.916 5.128 0.0
2300LZ 2.371 3.404 -2.603 1.401 2.846 -1.892 2.383 3.409 -2.603 2.383 3.409 -2.603 5.379 4.263 -3.187
2300M2 2.208 -1.401 3.487 1.44 1.489 2.617 2.098 -1.139 3.1 2.098 -1.139 3.1 1.947 -1.055 3.101
2300M4 0.861 -1.233 -0.0 0.409 -0.416 -0.0 0.862 -1.239 -0.0 0.862 -1.239 -0.0 0.748 -1.588 -0.0
2300M3 -4.309 -0.407 -1.258 -4.376 -0.095 -1.444 -4.113 -0.364 -1.254 -4.113 -0.364 -1.254 -4.426 -0.368 -1.273
2300M5 -3.631 -2.586 -2.351 -3.552 -3.8 -3.184 -3.221 -2.433 -2.199 -3.221 -2.433 -2.199 -3.181 -2.677 -2.153
2300M7 -2.371 0.028 0.444 -0.933 -0.125 0.613 -2.168 0.035 0.356 -2.168 0.035 0.356 -1.324 -0.015 0.361
2300M6 1.484 3.351 -0.847 0.876 3.511 -0.623 1.403 3.133 -0.967 1.403 3.133 -0.967 1.082 3.098 -1.058
2300M8 1.828 -4.387 0.7 3.041 -3.873 0.881 1.874 -4.098 0.659 1.874 -4.098 0.659 2.557 -3.806 0.706
2300M9 -2.421 -2.565 0.0 -6.891 0.288 0.0 -2.42 -2.579 0.0 -2.42 -2.579 0.0 -2.506 -2.549 0.0
2300MA -3.503 5.558 -2.429 -3.297 5.252 -2.086 -3.103 4.816 -2.011 -3.103 4.816 -2.011 -2.549 3.744 -1.396
2300MD 1.646 -5.826 2.172 -0.421 -2.439 1.684 1.444 -5.031 1.827 1.444 -5.031 1.827 1.41 -5.056 1.854
2300ME -7.208 2.466 -0.217 -5.534 3.913 -0.388 -6.558 2.213 -0.286 -6.558 2.213 -0.286 -6.58 2.309 -0.289
2300MG -1.4 4.84 2.856 1.114 4.599 3.24 -1.202 4.444 2.927 -1.202 4.444 2.927 -0.947 4.062 2.839
2300MF 0.775 1.723 -1.808 3.43 2.165 -1.947 0.777 1.722 -1.82 0.777 1.722 -1.82 0.797 1.756 -1.828
2300MH -1.05 4.357 0.843 -3.114 2.874 1.046 -0.941 3.849 0.813 -0.941 3.849 0.813 -1.198 4.134 0.831
2300MK -2.654 -0.255 1.434 -2.515 0.141 1.483 -2.665 -0.254 1.428 -2.665 -0.254 1.428 -2.537 -0.369 1.402
2300ML -0.229 -7.107 0.056 2.235 -4.292 -0.029 -0.225 -6.352 0.023 -0.225 -6.352 0.023 1.936 -5.996 0.004
2300MM -5.107 -0.347 0.004 -7.676 -2.696 0.003 -5.075 -0.354 0.003 -5.075 -0.354 0.003 -5.714 -0.421 0.003
2300MP -4.374 -5.739 -0.106 -4.316 -2.479 -0.068 -3.803 -4.836 -0.14 -3.803 -4.836 -0.14 -4.257 -5.364 -0.156
2300MS 0.115 1.755 2.775 -0.546 1.766 3.19 0.114 1.514 2.475 0.114 1.514 2.475 -0.193 1.549 2.756
2300MT -0.76 -0.808 0.575 -1.999 -1.888 0.481 -0.777 -0.812 0.573 -0.777 -0.812 0.573 -1.764 -0.573 0.537
2300MU -4.843 2.653 0.001 -6.107 0.985 0.0 -4.849 2.647 0.0 -4.849 2.647 0.0 -4.427 2.996 0.0
2300MV -7.471 7.963 0.0 -1.986 5.666 0.0 -6.637 6.621 -0.006 -6.637 6.621 -0.006 -6.398 6.586 0.0
2300MX 6.254 -4.642 -0.223 4.547 -3.376 -0.161 5.075 -3.771 -0.173 5.075 -3.771 -0.173 4.987 -3.702 -0.177
2300MW 6.532 1.814 -0.675 7.254 1.047 -0.929 5.694 1.554 -0.795 5.694 1.554 -0.795 5.884 0.614 -0.817
2300MZ 2.15 -0.639 -1.271 1.43 -0.233 -1.405 2.119 -0.664 -1.272 2.119 -0.664 -1.272 1.69 -1.019 -1.272
2300N0 8.636 0.628 -0.379 9.358 0.41 0.206 7.406 0.416 -0.252 7.406 0.416 -0.252 7.279 0.741 -0.261
2300N1 3.931 -0.772 0.0 0.055 0.942 -0.0 3.923 -0.782 0.0 3.923 -0.782 0.0 2.909 -0.548 0.0
2300N2 5.399 2.475 -1.135 2.011 2.109 -0.951 4.504 2.041 -0.975 5.138 2.305 -0.965 4.671 1.538 -0.933
2300N3 -2.222 -0.41 1.934 -2.026 -1.023 2.602 -1.947 -0.547 1.696 -1.947 -0.547 1.696 -1.984 -0.491 1.863
2300N5 -0.082 -0.056 0.099 -0.302 -0.11 0.306 -0.095 -0.035 0.099 -0.095 -0.035 0.099 0.31 0.318 0.217
2300N8 -5.482 3.743 -0.776 -5.71 3.176 -0.334 -4.992 3.37 -0.673 -4.992 3.37 -0.673 -4.811 3.523 -0.624
2300N4 -17.075 0.488 2.189 -19.888 1.022 2.132 -13.974 0.444 1.735 -13.974 0.444 1.735 -14.549 0.047 1.605
2300N9 -0.487 -0.639 2.675 -0.031 -0.753 2.881 -0.48 -0.645 2.631 -0.48 -0.645 2.631 -0.575 -0.647 2.653
2300NA -0.651 -7.822 0.295 0.032 -8.321 -0.144 -0.633 -7.824 0.296 -0.633 -7.824 0.296 0.71 -8.16 0.305
2300NF 2.343 7.669 -1.487 1.476 6.161 -1.321 1.774 6.096 -1.257 1.774 6.096 -1.257 1.788 6.083 -1.383
2300NE -1.822 7.411 -0.067 -2.014 5.875 -0.02 -1.514 5.894 0.056 -1.514 5.894 0.056 -1.505 5.857 0.087
2300NH -0.73 1.145 -0.0 -2.102 4.498 -0.0 -0.732 1.154 -0.0 -0.732 1.154 -0.0 -0.449 1.52 -0.0
2300NI -3.475 -3.023 -0.443 -3.364 -3.118 -2.461 -3.295 -2.792 -0.442 -3.295 -2.792 -0.442 -2.857 -2.491 -0.557
2300NJ -5.24 3.673 -0.317 0.114 1.93 -0.549 -4.461 2.968 -0.412 -4.461 2.968 -0.412 -4.463 3.002 -0.424
2300NK -3.291 1.214 -1.257 -4.282 0.285 -1.117 -3.308 1.236 -1.262 -3.308 1.236 -1.262 -2.916 1.218 -1.161
2300NL -3.34 -4.638 3.812 -2.389 -3.685 2.531 -3.1 -4.165 3.47 -3.1 -4.165 3.47 -3.599 -4.331 3.345
2300NM 10.935 -0.927 -0.0 19.363 -2.746 -0.0 10.62 -1.064 -0.0 10.62 -1.064 -0.0 10.28 -1.078 -0.0
2300NO 0.065 6.688 0.717 2.075 7.524 0.607 0.216 6.574 0.577 0.216 6.574 0.577 0.398 6.486 0.616
2300NT 5.583 8.449 -1.413 9.077 5.34 -1.234 4.765 6.975 -1.073 4.765 6.975 -1.073 5.772 7.856 -0.92
2300NV 1.448 -5.317 0.001 0.211 -5.156 0.001 1.036 -4.207 0.001 1.036 -4.207 0.001 0.999 -4.231 0.001
2300NU 0.613 -4.081 -1.664 1.498 -5.014 -1.32 0.645 -3.668 -1.33 0.645 -3.668 -1.33 0.346 -3.94 -1.336
2300NX 3.847 6.871 1.499 4.71 7.487 2.612 3.38 6.055 1.263 3.38 6.055 1.263 4.375 6.122 1.214
2300NY -0.12 2.543 -0.188 0.023 0.547 -0.446 -0.098 2.065 -0.348 -0.098 2.065 -0.348 0.514 1.817 -0.364
2300NZ 1.433 -1.542 -1.592 -1.681 -1.758 -1.31 1.288 -1.393 -1.327 1.288 -1.393 -1.327 1.13 -1.451 -1.34
2300O0 -4.654 2.794 1.17 6.393 -0.097 -1.312 -4.518 2.719 1.211 -4.518 2.719 1.211 -3.437 3.134 1.315
2300O1 -6.498 0.759 -0.917 -6.389 3.264 -0.907 -5.829 0.88 -0.931 -5.829 0.88 -0.931 -5.818 0.879 -0.936
2300O2 9.169 -0.918 0.39 4.129 -1.433 0.623 8.46 -0.859 0.372 7.749 -0.793 0.334 6.133 -0.925 0.479
2300O3 -6.233 3.16 0.826 -3.818 1.419 0.385 -6.25 3.159 0.827 -6.25 3.159 0.827 -4.514 2.86 0.727
2300O4 -6.172 11.005 0.002 1.498 11.1 0.001 -5.098 9.594 0.002 -5.098 9.594 0.002 -2.078 8.951 0.002
2300O5 11.585 -3.877 -0.0 0.448 -1.746 0.0 9.627 -3.15 0.001 9.627 -3.15 0.001 5.845 -3.579 0.001
2300O6 1.547 0.0 0.099 3.48 0.0 -0.104 1.544 0.0 0.109 1.544 0.0 0.109 1.607 0.0 0.215
