#compound QM Initial Optimized Reoptimized Retrained
2300E1 6.46 5.02 5.69 5.69 5.76 
2300E0 4.6 3.26 4.33 4.33 4.34 
2300E2 1.64 1.29 1.47 1.47 1.26 
2300E3 7.91 2.7 6.65 6.65 6.45 
2300E4 7.48 6.08 6.25 6.25 5.98 
2300E5 5.96 5.35 5.63 5.63 5.65 
2300E8 1.88 3.78 1.88 1.88 2.12 
2300EB 9.52 6.11 7.99 7.99 8.08 
2300EC 6.6 6.75 6.61 6.61 7.53 
2300ED 4.71 3.13 4.19 4.19 4.23 
2300EE 1.86 1.46 1.87 1.87 1.28 
2300EF 1.8 2.23 1.8 1.8 2.25 
2300EH 3.27 3.19 3.27 3.27 3.05 
2300EL 1.26 1.94 1.25 1.25 1.23 
2300EM 2.25 2.19 2.32 2.29 4.33 
2300EO 2.97 4.61 2.97 2.97 3.22 
2300EP 5.73 3.31 4.92 4.92 4.9 
2300ER 14.25 10.9 11.71 11.71 11.8 
2300ES 4.64 4.58 4.15 4.15 3.84 
2300ET 4.74 4.13 4.24 4.24 3.82 
2300F2 8.77 6.45 7.06 7.06 7.0 
2300F3 1.87 2.46 1.84 1.84 2.16 
2300F4 5.1 6.22 5.05 5.05 4.98 
2300F5 4.0 4.02 4.0 3.93 4.08 
2300F6 2.55 6.65 2.54 2.54 3.23 
2300F8 5.01 4.72 4.37 4.37 4.23 
2300FE 6.11 4.68 5.44 5.44 5.61 
2300FG 5.05 4.1 4.24 4.24 4.07 
2300FK 5.06 2.82 4.27 4.27 4.13 
2300FM 2.75 2.59 2.56 2.56 2.06 
2300FN 9.42 12.24 9.4 9.4 8.77 
2300FP 2.45 2.75 2.35 2.35 2.46 
2300FQ 2.09 2.44 1.96 1.96 2.12 
2300FR 4.64 4.3 4.24 4.24 3.37 
2300FT 6.5 4.86 5.53 5.53 5.34 
2300FV 5.72 5.41 5.41 5.41 4.77 
2300FW 6.61 5.07 5.94 5.94 5.57 
2300FY 4.11 4.18 3.58 3.58 3.9 
2300G1 3.44 5.12 3.46 3.46 4.03 
2300G3 3.76 1.79 3.39 3.39 3.23 
2300G4 8.58 8.88 7.64 7.64 7.83 
2300G5 3.39 0.91 3.38 3.4 4.05 
2300G6 2.51 4.05 2.48 2.48 1.93 
2300G8 6.63 4.6 5.68 5.68 4.43 
2300G9 4.17 4.18 3.72 3.78 3.96 
2300GA 2.48 2.2 2.42 2.42 1.89 
2300GB 3.58 1.63 2.89 2.89 2.85 
2300GC 0.92 1.7 0.9 0.9 2.94 
2300GE 6.93 5.68 6.51 6.51 5.55 
2300GF 5.1 4.91 5.11 5.11 5.04 
2300GK 1.83 2.92 1.87 1.87 1.73 
2300GJ 2.26 1.95 2.07 2.07 1.55 
2300GN 7.16 13.42 6.08 6.15 5.71 
2300GP 2.14 2.09 2.15 2.15 2.1 
2300GQ 1.75 1.72 1.75 1.75 1.46 
2300GR 1.59 0.99 1.59 1.59 1.01 
2300GS 0.04 0.35 0.03 0.03 0.19 
2300GT 0.33 0.86 0.34 0.34 0.33 
2300GV 6.23 5.64 5.64 5.64 5.97 
2300GX 1.32 5.37 1.31 1.33 2.86 
2300GY 6.82 5.47 5.94 5.94 5.54 
2300GZ 6.38 3.48 5.41 5.41 5.57 
2300H0 13.55 7.94 12.34 12.18 10.13 
2300H1 2.17 3.92 2.18 2.18 2.17 
2300H3 4.19 4.13 3.43 3.43 3.61 
2300H4 4.98 5.38 4.21 4.21 4.19 
2300H5 6.09 4.43 5.12 5.12 5.2 
2300H6 4.27 10.42 4.08 4.06 6.52 
2300H8 21.98 25.21 17.64 17.64 18.14 
2300H9 4.32 5.28 4.33 4.33 5.36 
2300HA 2.99 1.96 2.96 2.96 2.79 
2300HD 1.79 2.72 1.79 1.79 2.5 
2300HF 1.84 2.19 1.81 1.81 1.81 
2300HE 1.48 2.35 1.49 1.49 1.56 
2300HG 1.54 5.07 1.52 1.53 2.11 
2300HH 1.96 1.38 1.96 1.96 1.36 
2300HI 4.72 2.82 3.87 3.87 3.88 
2300HJ 4.24 2.64 3.41 3.41 3.38 
2300HK 4.74 5.47 4.43 4.43 4.59 
2300HM 5.42 4.88 4.75 4.75 4.5 
2300HN 2.92 3.73 2.91 2.91 2.23 
2300HO 5.44 3.97 4.85 4.85 3.98 
2300HP 12.7 13.99 10.79 10.79 10.96 
2300HQ 10.57 9.51 9.3 9.3 9.52 
2300HR 1.71 0.77 1.63 1.63 1.45 
2300HS 5.8 4.75 4.86 4.86 4.88 
2300HU 1.99 1.56 2.0 2.0 1.82 
2300HV 6.1 2.04 5.39 5.39 3.15 
2300HW 5.05 5.61 4.97 4.97 4.14 
2300HX 5.45 12.78 5.48 5.48 5.72 
2300HZ 2.86 1.36 2.85 2.85 2.27 
2300I1 3.76 2.99 3.15 3.15 3.15 
2300I2 2.29 4.35 2.28 2.28 2.96 
2300I3 3.41 4.14 3.41 3.41 3.41 
2300I5 8.63 7.62 8.26 8.26 8.01 
2300I6 7.35 6.31 6.64 6.64 6.22 
2300I8 5.27 14.05 5.26 5.26 5.35 
2300IA 2.06 1.99 2.08 2.08 3.12 
2300IC 6.07 4.1 4.86 4.86 4.76 
2300IE 5.04 4.05 4.35 4.35 4.18 
2300IG 5.2 5.57 4.45 4.45 4.45 
2300IH 0.11 0.59 0.13 0.13 1.17 
2300IJ 3.4 7.27 2.99 2.99 3.49 
2300II 3.66 11.08 3.37 3.41 5.88 
2300IL 2.62 0.94 2.64 2.64 3.24 
2300IM 4.79 1.52 4.23 4.23 3.63 
2300IN 1.24 3.94 1.23 1.23 1.75 
2300IO 4.31 5.43 4.1 4.1 3.57 
2300IR 6.54 3.19 6.41 6.41 4.76 
2300IV 1.95 2.08 2.02 2.02 2.15 
2300IU 3.79 3.56 3.62 3.62 3.39 
2300IW 4.04 3.78 3.72 3.72 3.99 
2300IY 3.82 3.89 3.53 3.82 3.93 
2300J0 5.66 5.43 4.65 4.65 4.55 
2300IZ 5.24 5.18 4.91 4.91 4.94 
2300J1 6.29 5.88 5.53 5.53 4.92 
2300J2 1.85 2.51 1.85 1.85 1.86 
2300J4 0.51 3.61 0.51 0.51 1.46 
2300J5 1.29 5.47 1.28 1.28 1.23 
2300J8 2.63 4.06 2.44 2.44 2.14 
2300JA 2.87 2.03 2.44 2.44 2.33 
2300JD 13.18 11.45 11.96 11.96 11.97 
2300JE 4.67 4.9 4.36 4.36 4.16 
2300JF 4.15 4.27 4.0 4.0 3.99 
2300JH 2.46 1.42 1.65 1.65 1.59 
2300JG 2.84 1.37 2.18 2.18 2.09 
2300JI 3.85 7.02 3.87 3.84 4.0 
2300JK 2.0 2.61 1.99 1.99 1.89 
2300JL 4.11 3.69 3.82 3.82 3.66 
2300JM 5.33 7.13 4.61 4.61 4.63 
2300JP 6.96 5.74 6.18 6.18 5.25 
2300JQ 4.38 3.13 4.39 4.39 4.26 
2300JR 2.07 0.9 2.08 2.08 1.74 
2300JS 0.0 0.0 0.04 0.04 0.0 
2300JT 6.66 5.91 5.82 5.82 5.66 
2300JV 4.36 3.11 3.73 3.73 3.65 
2300JW 3.89 4.29 3.49 3.49 3.43 
2300K0 1.89 2.0 1.85 1.85 1.95 
2300K1 4.14 6.74 3.64 3.64 3.31 
2300JZ 3.35 4.75 3.37 3.37 1.99 
2300K3 3.27 3.92 3.28 3.28 3.34 
2300K5 5.16 2.68 4.41 4.41 4.07 
2300K8 1.87 3.25 1.87 1.89 2.99 
2300KA 4.23 3.76 3.97 3.97 3.78 
2300KC 3.12 3.61 2.94 2.94 2.9 
2300KE 4.37 6.64 3.87 3.87 3.67 
2300KF 8.68 7.76 8.3 8.3 8.12 
2300KG 8.1 17.77 7.78 7.78 7.85 
2300KH 7.48 18.06 7.47 7.47 7.87 
2300KI 3.03 3.06 2.87 2.87 2.9 
2300KL 9.57 3.69 8.04 8.04 7.88 
2300KM 5.71 7.04 5.08 5.08 4.93 
2300KN 22.61 22.39 20.76 20.76 20.42 
2300KP 8.88 4.84 7.56 7.56 7.37 
2300KQ 2.69 3.72 2.55 2.55 2.04 
2300KR 4.25 2.42 3.47 3.47 3.22 
2300KS 2.64 3.88 2.64 2.64 2.16 
2300KT 6.72 5.77 6.39 6.39 6.81 
2300KV 5.79 5.21 4.49 4.49 4.94 
2300KW 5.85 5.41 4.7 4.7 4.56 
2300KY 5.26 8.43 5.3 5.28 5.7 
2300KZ 9.51 6.96 8.21 8.21 5.55 
2300L2 2.67 2.66 2.72 2.72 2.66 
2300L4 2.09 2.47 2.02 2.1 2.85 
2300L6 2.08 5.41 2.04 2.04 1.89 
2300L7 6.41 7.66 5.47 5.47 5.47 
2300L9 1.1 1.35 1.09 1.09 1.96 
2300LB 2.11 2.21 2.05 2.05 1.99 
2300LD 7.82 5.86 6.64 6.64 6.49 
2300LK 6.73 5.76 5.71 5.71 5.6 
2300LL 5.81 3.83 5.25 5.25 5.15 
2300LP 3.7 0.74 3.37 3.37 3.14 
2300LQ 5.33 4.55 4.69 4.69 4.74 
2300LS 4.29 7.32 4.29 4.29 4.2 
2300LU 9.54 6.52 7.91 7.91 7.09 
2300LV 3.36 7.86 3.36 3.35 3.04 
2300LW 7.06 3.46 6.63 6.63 7.1 
2300LZ 4.9 3.69 4.91 4.91 7.57 
2300M2 4.36 3.34 3.91 3.91 3.81 
2300M4 1.5 0.58 1.51 1.51 1.76 
2300M3 4.51 4.61 4.32 4.32 4.62 
2300M5 5.04 6.1 4.6 4.6 4.68 
2300M7 2.41 1.12 2.2 2.2 1.37 
2300M6 3.76 3.67 3.57 3.57 3.45 
2300M8 4.8 5.0 4.55 4.55 4.64 
2300M9 3.53 6.9 3.54 3.54 3.57 
2300MA 7.0 6.54 6.07 6.07 4.74 
2300MD 6.43 2.99 5.54 5.54 5.57 
2300ME 7.62 6.79 6.93 6.93 6.98 
2300MG 5.79 5.74 5.46 5.46 5.05 
2300MF 2.61 4.5 2.62 2.62 2.66 
2300MH 4.56 4.36 4.05 4.05 4.38 
2300MK 3.03 2.92 3.03 3.03 2.92 
2300ML 7.11 4.84 6.36 6.36 6.3 
2300MM 5.12 8.14 5.09 5.09 5.73 
2300MP 7.22 4.98 6.15 6.15 6.85 
2300MS 3.29 3.69 2.9 2.9 3.17 
2300MT 1.25 2.79 1.26 1.26 1.93 
2300MU 5.52 6.19 5.52 5.52 5.35 
2300MV 10.92 6.0 9.37 9.37 9.18 
2300MX 7.79 5.67 6.33 6.33 6.21 
