#compound Initial Optimized Reoptimized Retrained
230097 91.0 3.26 3.26 2.79
230098 21.33 0.57 0.57 6.54
230099 57.03 0.7 0.7 11.25
23009A 17.0 3.83 3.83 17.85
23009C 28.04 1.57 1.57 12.23
23009E 42.63 0.27 0.27 43.11
23009F 29.9 0.4 0.4 1.08
23009I 46.93 0.31 0.31 22.93
23009J 16.0 0.72 0.72 8.15
23009K 74.15 0.08 0.08 13.81
23009L 30.16 1.0 1.0 8.63
23009O 53.95 8.24 8.24 9.61
23009N 65.47 6.92 6.92 12.54
23009Q 6.02 0.63 0.63 1.83
23009S 24.87 1.62 1.62 0.41
23009T 32.23 0.61 0.61 1.47
23009U 16.58 1.76 1.76 2.72
23009W 4.82 4.18 4.18 4.32
23009V 6.48 4.67 4.67 5.24
23009Y 67.23 0.55 0.55 4.61
2300A0 31.98 0.44 0.44 2.84
2300A1 24.21 12.21 12.21 21.79
2300A2 27.41 0.76 0.76 10.58
2300A3 32.71 0.44 0.44 5.96
2300A5 0.03 0.28 0.28 0.03
2300A4 3.23 0.85 0.85 20.63
2300A6 18.04 1.39 1.39 0.88
2300A7 26.75 0.95 0.95 1.35
2300A9 16.91 0.15 0.15 4.35
2300AA 7.43 1.84 1.84 10.92
2300AB 152.47 2.25 2.25 2.22
2300AE 11.48 6.46 6.46 30.26
2300AF 10.57 0.37 0.37 7.86
2300AG 15.29 1.65 1.65 12.92
2300AH 15.07 1.39 1.39 2.45
2300AK 17.41 0.39 0.39 1.53
2300AO 5.49 1.29 1.29 1.51
2300AQ 3.55 3.49 3.49 9.05
2300AT 69.34 2.63 2.63 7.38
2300AU 21.6 0.93 0.93 15.13
2300AV 71.24 2.41 2.41 4.29
2300AW 44.2 5.06 5.06 23.46
2300AX 94.53 0.15 0.15 18.04
2300AZ 3.71 0.05 0.05 5.79
2300B0 0.9 2.26 2.26 2.9
2300B1 80.14 6.71 6.71 77.3
2300B2 7.13 2.17 2.17 4.07
2300B5 44.78 1.53 1.53 15.86
2300B7 3.91 0.45 0.45 1.34
2300B8 11.73 0.66 0.66 5.18
2300BA 23.66 2.02 2.02 3.7
2300BC 44.28 1.15 1.15 38.96
2300BD 8.93 0.42 0.42 22.66
2300BF 11.62 0.19 0.19 6.27
2300BH 50.56 0.66 0.66 3.91
2300BI 40.44 0.82 0.82 20.23
2300BK 76.66 0.23 0.23 5.14
2300BN 15.32 0.25 0.25 7.28
2300BO 12.68 0.57 0.57 15.48
2300BQ 6.01 0.46 0.46 10.87
2300BR 33.97 0.5 0.89 44.01
2300BT 8.01 6.08 6.08 6.21
2300BU 7.18 0.09 0.09 2.73
2300BW 56.61 0.29 0.29 13.06
2300BX 4.17 1.9 1.9 7.48
2300BY 6.84 0.25 0.25 8.15
2300BZ 22.47 0.39 0.39 14.69
2300C0 48.94 1.63 1.63 5.47
2300C1 4.21 0.84 0.84 3.81
2300C3 39.38 0.63 0.63 18.43
2300C4 11.52 2.37 2.37 8.81
2300C5 4.6 0.13 0.13 4.01
2300C6 21.54 0.13 0.47 30.97
2300C7 35.82 7.57 7.57 21.9
2300C8 90.87 3.04 3.61 7.86
2300C9 69.97 0.6 0.6 21.76
2300CB 80.96 11.99 11.99 15.13
2300CC 142.87 1.48 1.48 23.62
2300CD 9.4 3.55 3.55 5.01
2300CF 25.94 0.64 0.64 6.34
