#compound Initial Optimized Reoptimized Retrained
23007H 1.45 0.65 0.38 0.75
23007K 1.48 1.43 1.43 1.58
23007M 1.63 1.03 1.03 1.06
23007L 1.3 0.75 0.75 0.75
23007O 0.27 0.27 0.27 0.29
23007N 0.91 0.3 0.3 0.38
23007P 0.88 0.54 0.54 0.55
23007R 0.55 0.46 0.46 0.53
23007S 0.66 0.54 0.54 0.56
23007U 0.64 0.32 0.32 0.32
23007W 0.83 0.13 0.13 0.24
23007V 0.61 0.12 0.12 0.14
23007X 1.1 0.56 0.56 0.52
23007Y 2.26 0.52 0.46 0.6
23007Z 1.21 0.45 0.45 0.47
230080 1.48 0.32 0.32 0.32
230081 1.19 0.37 0.37 0.34
230082 3.42 1.07 1.07 2.09
230084 1.53 0.58 0.58 0.61
230083 2.75 0.97 0.97 1.0
230085 0.41 0.21 0.21 0.21
230086 1.0 0.29 0.29 0.28
230087 2.05 0.52 0.52 0.47
230088 0.6 0.44 0.44 0.52
230089 0.52 0.29 0.29 0.31
23008A 1.67 0.6 0.6 1.1
23008B 1.14 0.6 0.6 0.56
23008C 0.83 0.31 0.31 1.03
23008E 1.95 0.55 0.55 0.65
23008D 2.35 0.67 0.67 0.57
23008G 0.66 0.29 0.29 0.29
23008F 0.98 0.4 0.4 0.4
23008H 0.67 0.39 0.39 0.54
23008I 2.99 0.48 0.48 1.73
23008J 0.83 0.48 0.47 0.45
23008L 2.05 0.37 0.37 0.58
23008K 1.72 0.61 0.61 0.89
23008M 1.73 0.35 0.35 0.4
23008N 1.87 0.39 0.39 0.39
23008O 1.35 0.62 0.62 0.54
23008P 2.1 0.49 0.49 0.55
23008Q 1.38 0.97 0.97 1.12
23008R 1.24 0.44 0.44 0.7
23008S 2.13 0.65 0.27 0.51
23008T 0.89 0.62 0.62 1.0
23008U 0.87 0.4 0.4 0.6
23008V 0.87 0.52 0.52 0.51
23008W 0.62 0.22 0.22 0.36
23008X 0.2 0.17 0.17 0.17
23008Y 2.13 0.59 0.59 0.82
23008Z 1.18 0.52 0.52 0.48
230090 1.15 0.73 0.73 0.85
230091 1.48 0.57 0.57 0.61
230092 0.4 0.39 0.39 0.4
230093 1.16 0.64 0.64 0.67
230094 1.26 0.43 0.43 0.65
230095 2.21 0.84 0.84 1.62
230096 1.47 0.28 0.28 0.29
230097 2.78 0.36 0.36 0.35
230098 2.45 0.4 0.4 0.82
230099 0.92 0.54 0.54 0.7
23009A 0.57 0.3 0.3 0.32
23009C 0.93 0.58 0.58 0.6
23009B 1.09 0.75 0.75 0.91
23009D 1.18 0.68 0.68 0.99
23009E 0.39 0.34 0.34 0.39
23009F 1.68 0.38 0.38 0.3
23009G 1.54 0.52 0.52 0.56
23009H 1.07 0.45 0.45 0.43
23009I 1.03 0.34 0.34 0.56
23009J 1.17 0.72 0.72 0.73
23009K 1.15 0.39 0.39 0.63
23009L 0.79 0.48 0.48 0.53
23009M 0.92 0.54 0.54 0.64
23009O 0.68 0.26 0.26 0.23
