#E_qm E_ini E_opt E_reo E_ret zincID
6.04	7.34 	7.34 	7.34 	7.34 23001F 
6.54	8.26 	8.26 	8.26 	8.27 23001F 
6.73	8.33 	8.87 	8.87 	8.86 23001F 
6.81	9.03 	9.09 	9.09 	9.08 23001F 
6.84	1.22 	3.27 	3.27 	3.22 23001F 
7.74	7.61 	7.45 	7.45 	7.31 23001F 
8.36	7.35 	8.49 	8.49 	8.39 23001F 
0.35	3.71 	3.64 	3.43 	3.44 23001G 
0.98	0.00 	0.73 	0.73 	0.71 23001I 
0.00	7.91 	0.36 	0.36 	1.06 23001J 
0.79	8.12 	0.56 	0.56 	0.96 23001J 
0.79	8.14 	0.40 	0.40 	0.79 23001J 
0.79	8.11 	0.55 	0.55 	0.95 23001J 
1.08	8.09 	0.00 	0.00 	0.00 23001J 
1.08	8.09 	0.00 	0.00 	0.00 23001J 
1.54	4.18 	1.07 	1.07 	1.81 23001J 
2.71	2.38 	1.60 	1.60 	1.93 23001J 
1.54	0.00 	1.25 	1.25 	2.00 23001J 
3.18	3.34 	1.16 	1.16 	2.13 23001J 
4.00	0.04 	1.14 	1.14 	1.49 23001J 
0.54	9.18 	0.74 	0.74 	0.76 23001K 
5.63	10.49 	8.81 	8.81 	8.83 23001K 
5.63	10.43 	8.82 	8.82 	8.84 23001K 
6.55	11.64 	5.79 	5.79 	5.80 23001K 
7.14	16.48 	8.54 	8.54 	8.59 23001K 
6.55	11.65 	5.80 	5.80 	5.80 23001K 
0.36	0.60 	1.46 	1.46 	1.48 23001L 
1.87	3.81 	2.24 	2.24 	2.31 23001L 
5.28	5.45 	8.55 	8.55 	8.59 23001L 
5.72	1.12 	1.71 	1.71 	1.75 23001L 
6.21	5.53 	5.31 	5.31 	5.38 23001L 
7.01	6.06 	8.89 	8.89 	8.90 23001L 
0.00	0.01 	0.00 	0.00 	0.00 23001P 
6.49	4.04 	6.71 	6.71 	6.70 23001P 
0.00	0.00 	0.00 	0.00 	0.00 23001Q 
0.00	0.00 	0.00 	0.00 	0.00 23001Q 
0.09	0.75 	0.41 	0.41 	0.38 23001Q 
1.54	4.72 	4.14 	4.14 	4.18 23001R 
0.67	5.00 	3.04 	3.04 	2.95 23001S 
0.87	4.08 	3.41 	3.41 	3.32 23001S 
0.87	4.08 	3.41 	3.41 	3.32 23001S 
1.02	5.62 	3.81 	3.81 	3.93 23001S 
1.27	6.31 	3.41 	3.41 	3.33 23001S 
1.50	4.82 	4.14 	4.14 	4.23 23001S 
