#E_RMSD:ini opt reo ret zincID
1.42007 1.65805 1.65805 1.67945 ZINC000043199025
2.359 1.73039 1.73039 1.72264 ZINC000043199025_1
4.34146 0.538516 2.91652 2.5045 ZINC000043761817
2.10503 2.3801 2.3801 2.30293 ZINC000043763293
0 0 0 0 ZINC000044082570
1.93994 0.834549 0.834549 0.840969 ZINC000044082668
0.03 0.27 0.27 0.14 ZINC000044119062
1.39888 1.31731 1.31731 1.23824 ZINC000044138759
5.16789 1.58526 1.58526 1.75411 ZINC000044138759n
3.40047 2.23394 2.23394 2.1826 ZINC000044396420n
0.16 0.16 0.16 0.16 ZINC000044787391_1
2.89025 1.44456 1.44456 1.3156 ZINC000044831084
2.44527 3.04705 3.04705 3.05447 ZINC000045027560
0.308383 2.02722 2.02722 1.93416 ZINC000045028047n
1.72281 1.57584 1.57584 1.51868 ZINC000045238423
2.81256 2.33267 2.33267 2.31944 ZINC000045918651
2.33244 3.40832 3.40832 3.12874 ZINC000047476143
1.04162 1.59507 1.59507 1.38204 ZINC000047476143n
1.3 1.3 1.3 1.3 ZINC000047912995n
1.11543 0.927546 0.927546 0.854511 ZINC000050330894
0.259808 0.363731 0.363731 0.479201 ZINC000052842060
0.38 0.3 0.3 0.25 ZINC000053994765
2.32461 0.130767 0.130767 0.0770281 ZINC000055167591
2.08961 2.71046 2.71046 2.76938 ZINC000057347165
0 0 0 0 ZINC000057352171_1
0.46 0.13 0.13 0.24 ZINC000057382550
2.77273 1.12901 1.12901 1.38511 ZINC000057490024
0.863378 0.662873 0.662873 0.630397 ZINC000057490024n_1
0.5071 0.448581 0.448581 0.448581 ZINC000057490024_S_1
3.19569 3.16503 3.16503 3.15974 ZINC000057935980_1
0 0 0 0 ZINC000059549875_1
0.81 0.81 0.81 0.81 ZINC000059778361
1.36001 0.707825 0.524373 0.0788987 ZINC000060534201
4.60347 3.1223 3.1223 3.1223 ZINC000061916723_1
0 0 0 0 ZINC000062152173
3.42422 0.522398 0.522398 0.706045 ZINC000062716671n
1.82034 1.03006 1.03006 0.922185 ZINC000064542464_1
1.18229 1.66769 1.66769 1.52846 ZINC000064551368
1.45353 0.699357 0.699357 0.645616 ZINC000065504158
0.0667083 0.222036 0.222036 0.166433 ZINC000066091421
0.940452 0.219203 0.219203 0.205061 ZINC000066346333n
0 0 0 0 ZINC000066347747
1.93906 2.39383 2.07984 2.08565 ZINC000067321260_1
0.36 0.79 0.79 0.51 ZINC000067801367
1.99227 1.57862 1.57862 1.62271 ZINC000067802530
2.50707 0.800042 0.800042 0.811973 ZINC000068568666
0 0 0 0 ZINC000068575131
