#Atom_RMSD:ini opt rep pre zincid
0.102522 0.0338383 0.0338383 0.0337543 ZINC000003029908_1
0.0683948 0.0492661 0.0492661 0.049358 ZINC000003080625_1
0.0916387 0.310506 0.310506 0.309176 ZINC000003086176_1
0.0805708 0.0843551 0.0843551 0.0929449 ZINC000003127918
0.0506132 0.0944202 0.0938414 0.0902747 ZINC000003132279
0.0433355 0.042894 0.042894 0.0437542 ZINC000003137923
0.0659012 0.0770272 0.0770272 0.0851296 ZINC000003165873
0.113551 0.0697783 0.0635858 0.0648495 ZINC000003189195
0.186968 0.111722 0.111722 0.11568 ZINC000003230885
0.0642007 0.0468424 0.0468424 0.0467726 ZINC000003468889_1
0.218511 0.0718489 0.0718489 0.0717513 ZINC000003468889n
0.072406 0.0767933 0.0767933 0.0757252 ZINC000003628406
0.0536632 0.0546773 0.0546773 0.0547215 ZINC000003647272n
0.0890641 0.0755822 0.0755822 0.0734248 ZINC000003704331
0.071868 0.0832448 0.0832448 0.0827358 ZINC000003732452
0.420965 0.157438 0.157438 0.156778 ZINC000003732484
0.410843 0.169322 0.169322 0.168548 ZINC000003732484_1
0.109185 0.100178 0.100178 0.104016 ZINC000003845199
0.0693291 0.0763844 0.0763844 0.0767233 ZINC000003845997
0.0405311 0.0385523 0.0385523 0.0390667 ZINC000003847683
0.17464 0.0943335 0.0943335 0.0942935 ZINC000003848005_1
0.19843 0.0927296 0.0927296 0.0920278 ZINC000003848247
0.113285 0.0404882 0.0404882 0.0396876 ZINC000003848293
0.09359 0.0788067 0.0788067 0.0788938 ZINC000003848355
0.241555 0.103241 0.103858 0.103738 ZINC000003887489n
0.0350415 0.0364444 0.0364444 0.0360324 ZINC000003887569_1
0.0781917 0.0773221 0.0773221 0.0771096 ZINC000003937375n_1
0.295452 0.264885 0.240924 0.242958 ZINC000003993826
0.118162 0.0918509 0.0918509 0.0917126 ZINC000004023402_1
0.043234 0.0771901 0.0771901 0.0771405 ZINC000004025328_1
0.0546925 0.0540565 0.0540565 0.053806 ZINC000004026369
0.089957 0.102045 0.102045 0.10206 ZINC000004097541
0.36697 0.431711 0.279595 0.277586 ZINC000004189718
0.101127 0.0838698 0.0838698 0.0839174 ZINC000004189718_1
0.0678597 0.0590588 0.0590588 0.0583333 ZINC000004202974
