#E_RMSD:ini opt rep pre zincID
0.58 0.58 0.58 0.58 ZINC000003137923
2.09 1.05 1.05 0.98 ZINC000003165873
0.0943398 1.64542 0.737055 0.473339 ZINC000003189195
0.36 0.19 0.19 0.21 ZINC000003230885
2.13 0.11 0.11 0.13 ZINC000003468889_1
1.20661 0.228429 0.228429 0.16565 ZINC000003468889n
0.468402 0.544472 0.544472 0.558614 ZINC000003628406
3.98 1.72 1.72 2.22 ZINC000003647272n
1.11952 0.366904 0.366904 0.431361 ZINC000003704331
2.24626 0.735466 0.735466 0.71121 ZINC000003732452
4.69064 4.94065 4.94065 4.61765 ZINC000003732484
5.30538 0.215058 0.215058 0.186682 ZINC000003732484_1
6.01 1.81 1.81 0.65 ZINC000003845199
0.363456 1.06758 1.06758 0.955039 ZINC000003845997
0.72 1.87 1.87 1.83 ZINC000003847683
0.05 0.05 0.05 0.05 ZINC000003848005_1
5.62999 2.64738 2.64738 2.67766 ZINC000003848247
1.03347 0.0254951 0.0254951 0.0827647 ZINC000003848293
0.01 0.01 0.01 0.01 ZINC000003848355
1.09282 0.571402 0.945569 1.00262 ZINC000003887489n
0 0 0 0 ZINC000003887569_1
2.52483 1.19405 1.19405 1.23584 ZINC000003937375n_1
2.36603 0.61 1.50632 1.39789 ZINC000003993826
6.71029 1.34426 1.34426 1.3724 ZINC000004023402_1
3.83 0.11 0.11 0 ZINC000004025328_1
3.49483 2.5525 2.5525 2.64173 ZINC000004026369
3.9016 4.13309 4.13309 4.18856 ZINC000004097541
2.13 1.8 14.85 15.17 ZINC000004189718
0 0 0 0 ZINC000004189718_1
4.95014 3.02499 3.02499 2.81868 ZINC000004202974
6.16239 10.2998 10.7812 10.7436 ZINC000004214486
3.62437 0.95345 0.95345 0.924229 ZINC000004214486_2
0.84 0.21 0.21 0.21 ZINC000004237890
4.09636 1.50812 1.50812 1.45248 ZINC000004237890n
3.24709 1.81385 1.81385 1.82219 ZINC000004262098
1.19004 1.19004 1.19004 1.19004 ZINC000004271993
4.32927 2.3475 2.3475 2.73602 ZINC000004303615
5.14142 1.87888 1.87888 1.94056 ZINC000004329339
0.77 0.02 0.02 0.02 ZINC000004419542_1
0.943928 0.300666 0.300666 0.261381 ZINC000004521853
1.65285 0.15582 0.15582 0.153493 ZINC000004642428
1.87 0.905014 0.905014 0.93 ZINC000004663220_1
6.54 0.22 0.22 0.31 ZINC000004708120_1
2.96126 3.01728 3.01728 3.06007 ZINC000004715062n
6.58461 1.09028 1.09028 1.09869 ZINC000004718856
2.26795 2.22579 2.22579 2.21255 ZINC000004722141n
1.39875 1.14496 1.14496 1.11242 ZINC000004753987
2.06007 2.01004 2.01004 2.04773 ZINC000004765095
1.15676 1.48489 1.48489 1.50392 ZINC000004776052
3.8826 2.86709 2.86709 2.88522 ZINC000004777715
7.59212 1.25529 1.25529 1.58153 ZINC000004800545
1.34 0.08 0.08 0.08 ZINC000004803017
6.51856 4.17995 4.17995 4.25138 ZINC000004803017n
0.7 1.23 1.23 1.2 ZINC000004803166
0 0 0 0 ZINC000004812189
1.06 0.09 0.09 0.97 ZINC000004829905
3.2 0.13 0.13 0.41 ZINC000004831127_1
0.981512 0.739031 0.739031 0.739031 ZINC000004837503
3.51729 5.14297 5.14297 4.95299 ZINC000004945865
1.59323 1.07687 1.07687 1.0702 ZINC000004948170
