#QM Initial Optimized Reoptimized Retrained Bonded_term Compound
-0.695690515 -0.601459148 -2.84527618 -1.50537888 -1.57428428 I_C9_C4_S10_S8 ZINC000602993625n
1.00532546 -4.25540853E-02 -0.645382911 -0.645382911 -0.648880173 I_C2_C1_C19_N3 ZINC000634622561_1
0 7.294645231E-06 1.7201057 1.7201057 1.78665899 I_C14_C2_N12_N15 ZINC000725244717
0.267155494 2.957558667E-06 -2.20533775 5.434723624E-05 -5.934801639E-05 I_C4_C5_C9_N3 ZINC000767478079
1.67690844 0.556753876 2.74049524 2.74049524 2.69441429 I_C5_N4_N6_O17 ZINC000884561238
0 -0.524204994 0.248538865 -5.300526638E-02 -2.643776741E-02 I_C7_C16_N8_N5 ZINC001156816117
1.20078592 -0.293660346 3.744381902E-02 3.744381902E-02 -0.192091554 I_C6_C18_N7_N4 ZINC001157449731
-5.65772866 -5.463242291E-02 -1.33682117 -1.33682117 -1.32697999 I_C2_C3_C15_N1 ZINC001160878230_1
0.249579611 -1.632291601E-02 0.20300783 0.20300783 0.193602081 I_C9_C13_C10_N8 ZINC001173996627
0.494860415 -0.128997561 0.111619458 9.576272089E-02 -0.10268898 I_C3_N2_N9_N4 ZINC001173999554_1
-1.07238641 2.205223155E-02 -2.89858739 -2.89858739 -2.89389379 I_C2_C1_N3_H15 ZINC001174792103_1
4.994489759E-02 -5.404373693E-04 -1.721232869E-03 -1.721232869E-03 -1.775859651E-03 I_C12_C11_N14_S13 ZINC001241331593_2
0 4.599225619E-03 2.058333524E-03 2.058333524E-03 1.815250071E-03 I_C2_N3_O1_O18 ZINC001242058812_1
-0.262316496 -1.77963502 -0.474341163 -0.474341163 -0.496479891 I_C6_C5_N7_H21 ZINC001243949879_2
3.99889967 -0.343382659 6.56604706 6.56604706 6.56897959 I_C2_C1_C19_N3 ZINC001246991472_1
1.83210008 8.532994214E-02 9.60570239 9.60570239 5.06849163 I_C6_N7_N10_N5 ZINC001332479305
-1.009818278E-02 0.850427748 -0.142528277 -0.133629027 -0.140960837 I_C4_N3_N15_N5 ZINC001339791928n_1
-0.272063101 0.443155324 -7.583877971E-03 -7.583877971E-03 6.770284678E-03 I_C6_C5_C7_N18 ZINC001354028531_1
