#RMSD_ini RMSD_opt RMSD_reo RMSD_ret conf_ID zincID
7.539021388E-02 9.528288479E-02 9.528288479E-02 9.488414808E-02 5 23000D
7.489054005E-02 9.456266615E-02 9.456266615E-02 9.413484569E-02 6 23000D
9.576468841E-02 0.119143407 0.119143407 0.118215939 7 23000D
0.103608063 0.119974312 0.119974312 0.118982925 8 23000D
9.788340904E-02 0.116563815 0.116563815 0.115615211 9 23000D
0.102785512 9.953203934E-02 9.953203934E-02 9.945507853E-02 10 23000D
0.209480704 0.163888591 0.163888591 0.163843605 11 23000D
0.111097754 0.144906108 0.144906108 0.144470055 12 23000D
0.11297126 0.131595182 0.131595182 0.131899201 13 23000D
0.346165363 0.289964939 0.289964939 0.290511598 14 23000D
7.572137405E-02 7.066378985E-02 7.066378985E-02 7.299553357E-02 1 23000E
8.258717573E-02 7.814649043E-02 7.814649043E-02 7.976698475E-02 2 23000E
0.279103115 0.150556288 0.150556288 0.149203308 1 23000F
0.22646952 0.308386734 0.308386734 0.313315514 1 23000G
0.289064942 0.368263174 0.368263174 0.365430646 2 23000G
8.082318515E-02 0.188115672 0.188115672 0.186245371 3 23000G
0.390959628 0.403414515 0.403414515 0.397910686 4 23000G
0.346077337 0.353702095 0.353702095 0.3481395 5 23000G
0.107621677 0.176908198 0.176908198 0.175167452 6 23000G
0.126855158 0.254345947 0.254345947 0.248224216 7 23000G
5.100145754E-02 5.780201141E-02 5.780201141E-02 5.880237871E-02 1 23000H
0.139169343 6.07734001E-02 6.07734001E-02 6.246616274E-02 1 23000J
0.127933424 0.131056871 0.131056871 0.132407826 1 23000I
0.128133366 0.13071873 0.13071873 0.132064671 2 23000I
0.129262684 0.129961575 0.129961575 0.131311478 3 23000I
0.305144271 0.240228451 0.240228451 0.231234142 4 23000I
0.295830526 0.210297915 0.210297915 0.206639957 5 23000I
0.282026102 5.999475239E-02 5.999475239E-02 6.236983908E-02 1 23000K
4.922415161E-02 4.657228624E-02 4.657228624E-02 4.588201374E-02 1 23000L
7.336910192E-02 7.547937126E-02 7.547937126E-02 7.498962326E-02 2 23000L
0.142602745 0.148064858 0.144309938 0.144426438 1 23000M
7.346380211E-02 4.378092472E-02 4.683751261E-02 4.668186517E-02 1 23000O
6.424997778E-02 4.771284167E-02 4.771284167E-02 4.788181455E-02 1 23000Q
4.800919064E-02 5.993706994E-02 5.993706994E-02 6.009417672E-02 2 23000Q
4.763491497E-02 5.938165511E-02 5.938165511E-02 5.953722145E-02 3 23000Q
5.573491697E-02 3.61843807E-02 3.61843807E-02 3.637180514E-02 4 23000Q
9.158694398E-02 9.534350023E-02 9.534350023E-02 9.430864104E-02 1 23000R
9.35009402E-02 0.101367406 0.101367406 0.100242089 2 23000R
5.959791584E-02 4.569527193E-02 4.569527193E-02 4.403936542E-02 1 23000S
3.47948711E-02 3.732874595E-02 3.732874595E-02 3.742303494E-02 2 23000S
7.382714577E-02 3.140111947E-02 3.140111947E-02 3.139545061E-02 1 23000T
0.119746951 8.897081013E-02 8.897081013E-02 8.927814945E-02 1 23000U
0.119868255 8.808574819E-02 8.808574819E-02 8.836103373E-02 2 23000U
0.30196119 6.832100451E-02 6.832100451E-02 6.847602484E-02 3 23000U
0.309971523 6.850186477E-02 6.850186477E-02 6.869544297E-02 4 23000U
9.931328844E-02 7.674138752E-02 7.674138752E-02 7.702123452E-02 5 23000U
0.301985047 6.802441019E-02 6.802441019E-02 6.819867314E-02 6 23000U
0.10268155 8.48383215E-02 8.48383215E-02 8.547916343E-02 7 23000U
8.811575548E-02 8.750629234E-02 8.750629234E-02 8.743706226E-02 8 23000U
0.111351817 5.853373631E-02 5.853373631E-02 5.953285198E-02 1 23000X
0.11348002 7.679559652E-02 7.679559652E-02 7.641145172E-02 1 23000Z
0.135583665 4.197164577E-02 4.988288978E-02 5.098270501E-02 1 230010
0.239782904 0.320913307 0.320913307 0.317819203 1 230011
8.236431908E-02 5.498258759E-02 5.498258759E-02 5.485583742E-02 1 230013
5.378104996E-02 0.103579047 0.103579047 0.103754435 2 230013
