#RMSD_ini RMSD_opt RMSD_reo RMSD_ret conformation_ID zincID
0.153786574 0.379972528 0.379972528 0.384229255 3 23000G
0.270839658 0.770940135 0.770940135 0.772802643 4 23000G
1.69439679 0.843556618 0.843556618 0.842078526 5 23000G
0.14342774 0.386047459 0.386047459 0.390692521 6 23000G
0.150215762 0.379894519 0.379894519 0.375055026 7 23000G
0.221015179 0.260255471 0.260255471 0.279612404 1 23000H
0.118317906 0.511453135 0.511453135 0.503043989 1 23000J
0.882136725 0.355219054 0.355219054 0.354827895 1 23000I
0.882059866 0.355217094 0.355217094 0.354826727 2 23000I
0.88250251 0.354693919 0.354693919 0.354298333 3 23000I
0.538063768 0.318332346 0.318332346 0.309632266 4 23000I
0.314169244 0.25797307 0.25797307 0.255098855 5 23000I
0.26208727 7.074378261E-02 7.074378261E-02 7.082634021E-02 1 23000K
8.764435884E-02 1.15528091 1.15528091 1.15571016 1 23000L
7.361750406E-02 0.844090607 0.844090607 0.841375311 2 23000L
0.435927775 0.417949367 0.436979796 0.436747989 1 23000M
0.898846376 6.492168361E-02 6.54392506E-02 6.518949613E-02 1 23000O
0.233678629 0.117797753 0.117797753 0.117996014 1 23000Q
0.122905451 0.198872466 0.198872466 0.199070323 2 23000Q
0.122919729 0.198918151 0.198918151 0.199115605 3 23000Q
0.713184689 0.899815172 0.899815172 0.900539252 4 23000Q
0.142357983 0.230218553 0.230218553 0.229853827 1 23000R
0.288570205 0.128973944 0.128973944 0.133069341 2 23000R
0.418698072 4.695816227E-02 4.695816227E-02 4.625647411E-02 1 23000S
3.471707439E-02 3.399672653E-02 3.399672653E-02 3.353265818E-02 2 23000S
0.253796939 0.404868442 0.404868442 0.404851288 1 23000T
0.132264335 9.280346262E-02 9.280346262E-02 9.274133508E-02 1 23000U
0.132225124 9.264284891E-02 9.264284891E-02 9.25863031E-02 2 23000U
0.266941536 0.104476374 0.104476374 0.102797903 3 23000U
0.271456366 0.101289036 0.101289036 9.959453186E-02 4 23000U
0.125541617 8.98276383E-02 8.98276383E-02 8.991113164E-02 5 23000U
0.267112411 0.10432628 0.10432628 0.1026464 6 23000U
0.204409624 0.233100534 0.233100534 0.233387779 7 23000U
0.18337686 0.146223643 0.146223643 0.144231371 8 23000U
0.169322834 0.150800536 0.150800536 0.151080101 1 23000X
0.275934352 0.161947672 0.161947672 0.162402731 1 23000Z
0.179653356 0.112472319 0.128148747 0.128011293 1 230010
0.731437756 0.820671807 0.820671807 0.817080273 1 230011
0.248174653 0.266984587 0.266984587 0.265860599 1 230013
5.923197468E-02 0.142272735 0.142272735 0.142409324 2 230013
5.946586499E-02 0.129652223 0.129652223 0.129927208 3 230013
0.203936745 0.530724608 0.530724608 0.531099326 4 230013
0.22535949 0.581540278 0.581540278 0.576679561 5 230013
0.159400422 0.381165353 0.381165353 0.381939208 6 230013
0.227283732 0.189407365 0.189407365 0.189290469 7 230013
0.212288812 0.195165653 0.195165653 0.193928356 8 230013
0.184822386 0.135720431 0.135720431 0.143272918 1 230014
9.679280054E-02 0.100232675 0.100232675 9.977431672E-02 1 230016
0.214767641 0.367326487 0.367326487 0.378800201 1 230017
0.267797361 9.498135135E-02 9.498135135E-02 9.193167375E-02 1 230019
0.8742753 0.114002253 0.114002253 0.113363415 1 23001A
8.807914476E-02 0.108337784 0.108337784 0.106900407 2 23001A
0.499349226 0.486578892 0.486578892 0.486694391 1 23001B
0.276617236 0.128311572 0.278769944 0.277799622 1 23001C
