#Atom_RMSD:ini opt reo ret zincid
0.249528 0.164791 0.164791 0.16434 23006X
0.42691 0.174452 0.174452 0.172835 23006Y
0.223832 0.143293 0.143293 0.142891 23006Z
0.216149 0.210424 0.210424 0.211078 230070
0.382865 0.244557 0.234506 0.235262 230073
0.0350415 0.0364444 0.0364444 0.0360324 230074
0.345213 0.20003 0.20003 0.198348 230076
0.290567 0.420982 0.278527 0.28103 230077
0.525583 0.2859 0.2859 0.286171 23007A
0.0694278 0.132052 0.132052 0.131048 23007B
0.232145 0.202215 0.202215 0.202859 23007C
0.492898 0.42449 0.42449 0.427944 23007E
0.357578 0.462282 0.45757 0.46262 23007H
0.314765 0.12387 0.12387 0.125534 23007I
0.388296 0.216047 0.216047 0.218494 23007K
0.655805 0.722746 0.727033 0.725723 23007L
0.178216 0.207444 0.207444 0.20701 23007M
0.143559 0.584345 0.584345 0.583564 23007N
0.321878 0.442828 0.442828 0.441343 23007O
0.315862 0.282793 0.282793 0.282529 23007P
0.717729 0.714143 0.714143 0.714143 23007Q
0.356154 0.448164 0.448164 0.44399 23007R
0.461022 0.279371 0.279371 0.279016 23007S
0.0981269 0.0981656 0.0981656 0.0972361 23007U
0.557341 0.213574 0.213574 0.213321 23007V
0.484625 0.353749 0.353749 0.353929 23007Z
0.0891672 0.0703002 0.0703002 0.070088 230080
0.532907 0.1997 0.1997 0.200179 230081
0.145422 0.188326 0.188326 0.189119 230084
0.368739 0.184953 0.184953 0.184954 230085
0.532764 0.520775 0.520775 0.520661 230086
0.690079 0.351353 0.351353 0.350682 230087
0.199916 0.216222 0.216222 0.223638 230088
0.435864 0.169888 0.169888 0.16819 230089
0.186822 0.232389 0.232389 0.232772 23008B
0.694789 0.235093 0.235093 0.342599 23008C
0.444497 0.446943 0.446943 0.553125 23008D
0.355026 0.518736 0.518736 0.517926 23008E
0.198161 0.283542 0.283542 0.283916 23008F
0.107327 0.0912871 0.0912871 0.0888169 23008I
0.212042 0.0607872 0.0607872 0.0635321 23008K
0.0453689 0.0766859 0.0766859 0.0758147 23008M
0.64048 0.636055 0.636055 0.636211 23008N
0.295534 0.208806 0.208806 0.229615 23008O
0.197918 0.186305 0.186305 0.186604 23008P
0.249992 0.142598 0.142598 0.141728 23008Q
0.31433 0.30641 0.30641 0.303435 23008R
0.327212 0.0808938 0.0808938 0.0842415 23008T
0.473521 0.425728 0.425728 0.413776 23008U
0.367849 0.32512 0.32512 0.324893 23008V
0.0468873 0.0459937 0.0459937 0.0461251 23008W
0.322266 0.347237 0.347237 0.347155 23008X
0.170748 0.180669 0.180669 0.178778 23008Z
0.179092 0.286827 0.286827 0.285464 230091
0.140081 0.322995 0.322995 0.325949 230092
0.480873 0.274491 0.274491 0.272848 230094
0.747816 0.0789355 0.0789355 0.0785529 230095
0.0656174 0.0771884 0.0771884 0.0771129 230096
0.365732 0.579093 0.579093 0.579479 230097
0.205577 0.224708 0.224708 0.224107 230098
0.343035 0.237657 0.237657 0.23961 230099
0.648912 0.172833 0.172833 0.17417 23009A
0.420836 0.422616 0.422616 0.422599 23009B
0.54639 0.543778 0.543778 0.544272 23009D
0.298499 0.221747 0.221747 0.222244 23009E
1.28006 0.369723 0.369723 0.353566 23009F
0.3255 0.422744 0.422744 0.421921 23009G
0.0687732 0.069792 0.069792 0.0691764 23009H
0.300079 0.179263 0.179263 0.181484 23009I
0.339419 0.247632 0.247632 0.2422 23009J
0.227162 0.565963 0.565963 0.567809 23009M
0.288813 0.35897 0.35897 0.369475 23009N
0.152865 0.148154 0.148154 0.147152 23009O
0.448533 0.450047 0.450047 0.449608 23009P
0.211675 0.273976 0.273976 0.180656 23009Q
0.323328 0.123452 0.123452 0.123611 23009R
0.203856 0.24478 0.24478 0.245209 23009S
0.609912 0.541654 0.541654 0.540224 23009U
0.186049 0.241719 0.241719 0.243791 23009Z
1.05235 0.379117 0.379117 0.378032 2300A0
0.22379 0.273683 0.273683 0.260734 2300A2
0.0669841 0.0426474 0.0426474 0.0432242 2300A3
0.608134 0.471142 0.471142 0.477369 2300A4
0.296671 0.114813 0.114813 0.114583 2300A5
0.222182 0.0968881 0.0968881 0.0971458 2300A6
0.12875 0.0893436 0.0893436 0.086269 2300A8
0.375989 0.379351 0.379351 0.377706 2300A9
0.175318 0.179736 0.179736 0.18781 2300AA
0.214239 0.188627 0.188627 0.186606 2300AB
0.296491 0.316596 0.316596 0.316544 2300AC
0.404074 0.403816 0.403816 0.409939 2300AF
0.73406 0.301569 0.301569 0.30988 2300AG
0.267898 0.0808036 0.0808036 0.0815046 2300AH
0.240298 0.342285 0.342285 0.342738 2300AK
0.0868887 0.0655467 0.0655467 0.0655467 2300AN
0.191401 0.120258 0.120258 0.120806 2300AO
0.21394 0.164099 0.153722 0.153982 2300AP
0.435739 0.324857 0.324857 0.307789 2300AS
0.331889 0.414254 0.414254 0.411336 2300AT
0.131515 0.160016 0.160016 0.172924 2300AW
0.170095 0.145922 0.145922 0.141879 2300AY
0.484902 0.328643 0.328643 0.328143 2300B0
0.0984824 0.0894802 0.0894802 0.0875347 2300B1
0.534442 0.360886 0.360886 0.361175 2300B2
0.386453 0.242207 0.242207 0.232459 2300B3
0.217937 0.176716 0.176716 0.171899 2300B4
0.38005 0.322291 0.322291 0.321616 2300B5
0.401489 0.412782 0.412782 0.411817 2300B6
0.327861 0.0992795 0.0992795 0.0978589 2300B7
0.294623 0.297637 0.297637 0.297525 2300B8
1.13984 0.222413 0.222413 0.234323 2300BB
0.399463 0.169981 0.169981 0.263724 2300BC
0.0663264 0.0720636 0.0720636 0.0628803 2300BD
